start	end	text
1124920	1136920	I think it's the only one that's like, yeah.
1136920	1145920	Okay, this one.
1145920	1153920	This one is like slanted, where the top is at the left and the bottom is at the top left to bottom right.
1153920	1171920	The top left of it is a triangle pointed upward, but it's connected to like another trapezoid figure.
1171920	1181920	And then the bottom right is a triangle pointed southeast.
1181920	1195920	Yeah.
1195920	1213920	Okay, so the top is a rhombus touching a flat side where the left side is completely flat and then the right is like a triangle inverted, coming back in.
1213920	1226920	And so the flat left side does go into form, like the empty space is a triangle on the left side before it picks up again.
1226920	1241920	And then the lowest part of the entire figure is at the bottom right. And it's like a trapezoid parallelogram type figure pointed downward, down a little bit to the right.
1241920	1246920	Let's try to see.
1246920	1268920	Yeah, so I think rhombus on top and then the lowest point in the figure is the bottom right, with a kind of trapezoid triangle pointing down to the right as well.
1268920	1271920	Let's see.
1271920	1284920	Okay, yeah.
1284920	1293920	Okay, so this one has a rhombus on top and its point of contact is a triangle pointed upward.
1293920	1302920	And then it kind of looks like someone's on their knees and they're facing towards the right.
1302920	1312920	There's another triangle connected, let's see, actually, there's a rhombus on top connected to a triangle pointed upward.
1312920	1328920	And then there's like the left side forms, like the blank space of the left side kind of forms a diamond almost.
1328920	1333920	Does it kind of look like a woman kneeling reading a book?
1333920	1347920	Yes, yes.
1347920	1363920	This is a house with like a chimney on the right side.
1363920	1376920	Okay, this one looks like someone walking to the left. So the top is a rhombus, the bottom left is a triangle pointed downward.
1376920	1385920	It's like the middle part is the skinniest, it's like a very skinny, it gets like very skinny in the middle.
1385920	1389920	And it looks like a guy wearing a flip-flop pants.
1389920	1404920	Yeah, yeah.
1404920	1409920	This one looks like a dog with like something on its back.
1409920	1419920	So the head is on the left side and then the tail is a triangle pointed upward and it's like barely touching the rest of the figure.
1419920	1432920	That's on the right side.
1432920	1458920	Okay, this one is got a really long skinny rectangle on the left and then the base, it just looks like a big owl.
1458920	1463920	This one kind of looks like an upside down tree almost.
1463920	1486920	It's like the top is a rectangle, a flat rectangle and the bottom is like a diamond pointed down and then there's like another similar diamond, like two of them.
1486920	1493920	Okay, the top of this one is a triangle that's barely touching everything else and the triangle is pointed to the left.
1493920	1512920	And then the bottom, there's like a square towards the bottom, it looks like someone's like holding it facing the left.
1512920	1525920	Okay, this one looks like there's someone walking to the left and they're like stepping up and then on the back is a square that's like kind of touching the rest of the figure but not really.
1525920	1527920	Okay.
1527920	1529920	Great, cool.
1529920	1537920	Okay.
