start	end	text	trial
580100	586900	she's getting up, she's in the process of getting up, she's pointed to the right, and you know, okay.	29
593700	597380	Alright, this is the square pushing the triangle off the cliff,	30
598020	601780	the left side of the cliff is very more jagged than the right side,	30
601780	603540	but the right side is still a bit jagged.	30
612820	619220	Alright, this is the scuba diver, or the fish with the top hat.	31
623700	629620	The scuba diver, or fish with top hat. Um, triangle legs, I guess, or triangle feet?	31
637780	642340	Alright, this is a new one, it's a swan laying a triangle egg.	32
644260	649300	Um, maybe not a swan, some big bird of some sort.	32
652740	665300	Um, pine cone? Um, yeah, square top, symmetrical.	33
673380	679780	Alright, this is, uh, you said the word toilet in your description, I have to agree, I think,	34
680420	684020	but it's not really that they're sitting in the toilet, you know, it's kind of like standing	34
685060	687620	within the toilet. Okay, yeah.	34
693860	700500	Alright, wine glass person with a long robe. Um, and, uh, yeah.	35
700500	715620	Alright, this is the swaddled baby, um, as you described. Uh, try, uh, yeah, square head.	36
721700	727220	Alright, this is the girl with the skirt, sitting down, um, she's pointing to the left,	36
727220	732340	she's a thing jutting out of her to the, oh, she's pointing to the right, not that, yeah.	36
